id,varieties
37442,"Chardonnay100%,"
37443,"Malbec100%,"
37444,"Malbec,"
37445,"CabernetSauvignon100%,"
37446,"Malbec100%,"
37450,"CabernetSauvignon,Merlot,CabernetFranc,"
37451,"CabernetSauvignon65%,Merlot30%,CabernetFranc5%,"
37452,"CabernetSauvignon,Merlot,CabernetFranc,"
37454,"Merlot50%,CabernetSauvignon40%,CabernetFranc7%,PetitVerdot3%,"
37456,"CabernetSauvignon64%,Merlot28%,CabernetFranc3%,PetitVerdot2%,Malbec3%,"
37464,"Merlot60%,CabernetSauvignon40%,"
37465,"CabernetSauvignon58%,Merlot37%,CabernetFranc5%,"
37469,"CabernetSauvignon90%,Merlot10%,"
37471,"Merlot60%,CabernetSauvignon35%,PetitVerdot5%,"
37499,"CabernetSauvignon100%,"
37502,"Moscato100%,"
37504,"Moscato100%,"
37505,"Nebbiolo100%,"
37506,"Nebbiolo100%,"
37507,"Brachetto100%,"
37508,"Tempranillo100%,"
37511,"Tempranillo100%,"
37515,"CabernetSauvignon57%,Merlot21%,CabernetFranc20%,PetitVerdot2%,"
37516,"CabernetSauvignon57%,Merlot21%,CabernetFranc20%,PetitVerdot2%,"
37517,"CabernetSauvignon57%,Merlot21%,CabernetFranc20%,PetitVerdot2%,"
37518,"CabernetSauvignon70%,Merlot30%,"
37519,"CabernetSauvignon,Merlot,CabernetFranc,PetitVerdot,"
37520,"CabernetSauvignon70%,Merlot15%,CabernetFranc15%,"
37522,"Cabernetsauvignon75%,Merlot20%,CabernetFranc4%,PetitVerdot1%,"
37523,"Cabernetsauvignon75%,Merlot20%,CabernetFranc4%,PetitVerdot1%,"
37524,"CabernetSauvignon60%,Merlot30%,CabernetFranc10%,"
37525,"CabernetSauvignon60%,Merlot30%,CabernetFranc10%,"
37528,"CabernetSauvignon60%,Merlot33%,CabernetFranc5%,PetitVerdot2%,"
37529,"CabernetSauvignon60%,Merlot31%,CabernetFranc5%,PetitVerdot2%,"
37536,"CabernetSauvignon60%,Merlot30%,CabernetFranc8%,PetitVerdot1%,Malbec1%,"
37539,"CabernetSauvignon65%,Merlot35%,"
37545,"CabernetSauvignon,Merlot,"
37546,"CabernetSauvignon,Merlot,CabernetFranc,PetitVerdot,"
37547,"CabernetSauvignon75%,Merlot25%,"
37552,None
37553,"CabernetSauvignon,Merlot,CabernetFranc,PetitVerdot,"
37554,"CabernetSauvignon,Merlot,CabernetFranc,PetitVerdot,"
37555,"CabernetSauvignon,Merlot,CabernetFranc,PetitVerdot,"
37556,"CabernetSauvignon,Merlot,PetitVerdot,"
37557,"CabernetSauvignon65%,Merlot30%,PetitVerdot5%,"
37558,"CabernetSauvignon72%,Merlot20%,CabernetFranc8%,"
37559,"CabernetSauvignon,Merlot,CabernetFranc,PetitVerdot,"
37560,"CabernetSauvignon65%,Merlot19%,CabernetFranc13%,PetitVerdot3%,"
37562,"CabernetSauvignon73%,Merlot15%,CabernetFranc10%,PetitVerdot2%,"
37564,"CabernetSauvignon75%,Merlot20%,CabernetFranc3%,PetitVerdot2%,"
37566,"CabernetSauvignon77%,Merlot13%,CabernetFranc10%,"
37567,"CabernetSauvignon78%,Merlot18%,CabernetFranc4%,"
37569,"CabernetSauvignon86%,Merlot12%,CabernetFranc2%,"
37571,"CabernetSauvignon60%,Merlot40%,"
37579,"CabernetSauvignon66%,Merlot26%,PetitVerdot5%,CabernetFranc3%,"
37587,"Lambrusco100%,"
37588,"Lambrusco,"
37589,"Lambrusco,"
37592,"Montepulciano100%,"
37600,"CabernetSauvignon100%,"
37601,"CabernetSauvignon100%,"
37602,"CabernetSauvignon100%,"
37603,"CabernetSauvignon,"
37605,"CabernetSauvignon100%,"
37606,"Malbec100%,"
37607,"SauvignonBlanc100%,"
37608,"PinotNoir100%,"
37609,"PinotNoir100%,"
37610,"PinotNoir100%,"
37611,"CabernetSauvignon100%,"
37612,"CabernetSauvignon,"
37613,"Chardonnay100%,"
37614,"Merlot100%,"
37617,"Carmenere100%,"
37618,"Merlot,"
